id,customer_id,timestamp,channel,text,emotion_label,sentiment_label
ROW00001,CUST0584,2026-04-28 12:52:52,survey_feedback,"So still kind of missing the old templates, weve just been doing things manually since.",sadness,bad
ROW00002,CUST0093,2026-03-21 21:25:54,call_transcript,so support honestly tried to guilt trip me into staying instead uh of just you know helping me cancel,disgust,bad
ROW00003,CUST0199,2026-03-18 00:04:17,survey_feedback,"So did not realize the new plan tier included that feature for free, pleasantly surprised, figured id mention it.",surprise,good
ROW00004,CUST0556,2026-03-08 14:19:57,call_transcript,the fine you know print like on the renewal honestly terms feels deliberately misleading,disgust,bad
ROW00005,CUST0705,2026-06-02 01:27:06,call_transcript,so the integration broke after your last update and nobody warned you know us it honestly was coming,anger,bad
ROW00006,CUST0212,2026-05-05 15:48:55,survey_feedback,"Ok so teams still using it but adoption across departments has been slower than we hoped, figured id mention it.",neutral,neutral
ROW00007,CUST0413,2026-08-12 03:29:01,call_transcript,wasnt expecting the feature like we um rely on uh to just disappear without any notice,surprise,bad
ROW00008,CUST0688,2026-04-12 12:13:11,call_transcript,support tried to guilt trip me into staying instead you know of just helping me cancel,disgust,bad
ROW00009,CUST0207,2026-03-28 07:48:45,survey_feedback,"So the mobile app finally works flawlessly even with our full dataset loaded, figured id mention it!",joy,good
ROW00010,CUST0253,2026-02-24 12:56:44,survey_feedback,"Loving how simple this is for a one person shop, does exactly what i need, wanted to put that on record.",joy,good
ROW00011,CUST0383,2026-05-29 13:13:35,call_transcript,finally managed to uh cancel i mean after 20 minutes of being redirected between you know pages,anger,bad
ROW00012,CUST0074,2026-05-31 13:13:02,survey_feedback,So teams still using it but adoption across departments has been slower than we hoped.,neutral,neutral
ROW00013,CUST0684,2026-04-21 12:44:56,call_transcript,honestly we just honestly stopped seeing the point um of it like kind of sad it didnt work out for us in the end,sadness,bad
ROW00014,CUST0643,2026-04-05 02:09:42,call_transcript,im not uh confident the new permissions um setup is actually secure,fear,bad
ROW00015,CUST0578,2026-05-17 21:37:57,survey_feedback,"Just wanted to say, the whole downgrade flow is designed to be as confusing as possible.",disgust,bad
ROW00016,CUST0304,2026-06-28 23:23:28,survey_feedback,"Not gonna lie, the new integration took five minutes to set up and just worked, just flagging it!",joy,good
ROW00017,CUST0384,2026-03-17 23:07:03,call_transcript,honestly im nervous the i mean price is going uh to jump again at the next renewal,fear,bad
ROW00018,CUST0492,2026-02-24 01:55:34,call_transcript,so still kind of missing um the you know old templates weve just been doing honestly things manually since,sadness,bad
ROW00019,CUST0460,2026-08-10 03:30:03,survey_feedback,"Honestly, kind of sad our whole team has just quietly stopped using half the features we used to love.",sadness,bad
ROW00020,CUST0357,2026-07-02 23:10:34,call_transcript,um whats the difference between the pro and enterprise support tiers exactly uh,neutral,neutral
ROW00021,CUST0077,2026-08-18 10:54:14,survey_feedback,"Not gonna lie, havent really had time to dig into the new features, still just using it for the basics, wanted to put that on record.",neutral,neutral
ROW00022,CUST0231,2026-02-23 23:03:59,call_transcript,you guys charged i mean me twice this month and nobody on chat could explain why,anger,bad
ROW00023,CUST0156,2026-03-19 09:12:01,call_transcript,so kind of honestly sad our whole team has like just quietly stopped using half the features we you know used to love,sadness,bad
ROW00024,CUST0466,2026-03-23 17:18:34,call_transcript,im scared we're going to lose you know our historical reports if we honestly switch uh plans,fear,bad
ROW00025,CUST0671,2026-06-15 17:45:23,survey_feedback,"Honestly, whats the difference between the pro and enterprise support tiers exactly!",neutral,neutral
ROW00026,CUST0214,2026-07-05 13:53:29,survey_feedback,"Just confirming our seat count before the next billing cycle, figured id mention it.",neutral,neutral
ROW00027,CUST0241,2026-04-27 18:44:35,survey_feedback,The whole downgrade flow is designed to be as confusing as possible!,disgust,bad
ROW00028,CUST0261,2026-05-02 20:44:03,call_transcript,you know wasnt expecting support to respond this fast on a honestly weekend really impressed,surprise,good
ROW00029,CUST0672,2026-05-04 17:34:42,call_transcript,so did not uh expect the price to jump that much on like renewal nobody mentioned it in the email,surprise,bad
ROW00030,CUST0224,2026-03-23 22:00:56,call_transcript,you know the integration i mean broke like after your last update and nobody warned us it was coming,anger,bad
ROW00031,CUST0455,2026-04-12 22:32:00,survey_feedback,"So wasnt expecting support to respond this fast on a weekend, really impressed, wanted to put that on record.",surprise,good
ROW00032,CUST0434,2026-04-02 07:57:26,survey_feedback,"Kind of sad our whole team has just quietly stopped using half the features we used to love, just flagging it.",sadness,bad
ROW00033,CUST0024,2026-04-11 16:48:09,call_transcript,so the integration broke after your last update and nobody uh warned us it was coming,anger,bad
ROW00034,CUST0081,2026-03-20 05:00:24,call_transcript,is my data actually backed uh up somewhere im a bit nervous about losing my project files,fear,bad
ROW00035,CUST0727,2026-06-11 23:26:50,survey_feedback,"Can someone confirm if our renewal date changed before next quarter, figured id mention it.",neutral,neutral
ROW00036,CUST0211,2026-05-16 18:52:07,call_transcript,the free trial silently converted to a you know paid plan without any reminder,disgust,bad
ROW00037,CUST0233,2026-08-11 14:56:26,survey_feedback,"Quick note, wanted to ask if theres a bulk import option for existing records, just flagging it.",neutral,neutral
ROW00038,CUST0395,2026-07-18 13:56:53,call_transcript,the new honestly dashboard you know update is amazing it uh saved me so much time this week,joy,good
ROW00039,CUST0696,2026-06-09 07:12:47,survey_feedback,"So the integration broke after your last update and nobody warned us it was coming, figured id mention it.",anger,bad
ROW00040,CUST0137,2026-04-07 17:13:17,call_transcript,you know wasnt expecting the feature we rely on to just disappear without any notice,surprise,bad
